"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"Andrey Chmut","Smoothability","sing1","*","02.07.2019","jul","jazz","jazz","немає","","*","","","*","","","","","Київ","чоловіча","Київ",1,1,"Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg",20185,"https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133","yes","short list"
"Atomic Simao","Levitation Loom Four","sing2","","22.12.2019","dec","psychedelic jazz, instrumental","jazz","англійська","","*","*","*","","*","*","*","*","Київ","чоловіча","Київ",1,1,"Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg",20187,"https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four","yes","short list"
"Freel","Спалах","sing3","","19.11.2019","nov","rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg",20213,"https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah","yes","short list"
"Jamala","Крила","sing4","","23.11.2019","nov","pop","pop","мікс","eng","*","*","","*","*","*","","*","Київ","жіноча","Київ",1,1,"Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no",20230,"https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","short list"
"KRUTЬ","Live Concert With Chamber Orchestra","sing5","","19.10.2019","oct","","indie","мікс","eng","*","","","*","","","","","Київ","жіноча","Київ",1,1,"Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg",20364,"https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","short list"
"LATEXFAUNA","Ajahuaska","sing6","","11.05.2019","may","indie pop","indie","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg",20245,"https://www.facebook.com/latexfauna/","https://www.deezer.com/en/album/62151552","yes","short list"
"LAUD","Музика","sing7","*","23.10.2019","oct","","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg",20246,"https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","short list"
"ONUKA","MOZAЇKA","sing8","","22.03.2019","mar","electronic","electronic","мікс","eng","*","*","","*","*","*","*","*","Київ","мікс","Київ",1,1,"ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg",20261,"https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","short list"
"YUKO","DURA?","sing9","","28.11.2019","nov","electronic","electronic","мікс","рос","*","*","","*","*","*","*","*","Київ","мікс","Київ",1,1,"YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg",20306,"https://www.facebook.com/yukoUA/","https://soundcloud.com/masterskayalab/sets/yuko-dura","yes","short list"
"Вагоновожатые","Референс","sing10","","18.11.2019","nov","dans/electro","electronic","мікс","укр","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Chelovecheskie slabosti","Vagonovozhatyie_Chelovecheskie_slabosti.mp3","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg",20313,"https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499","yes","short list"
