id,group,album,image,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing1,044 Rose,ROSE 044,,,15.11.2019,nov,hip hop pop,hip hop & rap,російська,,*,*,,*,*,*,*,*,Київ,чоловіча,Центр
sing2,1914,The Blind Leading The Blind,,,11.11.2019,nov,death\doom metal,metal,англійська,,*,*,*,*,*,*,*,*,Львів,чоловіча,Захід
sing3,2sleepy,For The Next Day,https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg,,22.11.2019,nov,electronic,electronic,немає,-,*,*,,*,*,*,*,*,Київ Krakow Brooklyn,чоловіча,Закордон
sing4,2sleepy,For The Next Day,,,22.11.2019,nov,electronic,electronic,немає,-,*,*,,*,*,*,*,*,Київ Krakow Brooklyn,чоловіча,Центр
sing5,8X8,New Data New Day,https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg,,01.12.2019,dec,Psychedelic,rock,англійська,,*,,,*,*,*,*,*,"from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)",чоловіча,Закордон
sing6,8X8,New Data New Day,,,01.12.2019,dec,Psychedelic,rock,англійська,,*,,,*,*,*,*,*,"from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)",чоловіча,Центр
sing7,Advokaty,23:45,,*,30.03.2019,mar,alternative rock,rock,російська,,*,*,*,,*,*,*,*,Київ,мікс,Центр
sing8,Aero Benin,Aero Benin,,*,07.09.2019,sep,psychedelic pop,indie,англійська,fr,*,*,*,*,*,*,*,*,Київ,чоловіча,Центр
sing9,AGHIAZMA,Plus Ultra,,*,23.11.2019,nov,"post-punk, goth-rock, industrial metal influenced",rock,англійська,,*,*,,*,*,*,*,*,Київ,мікс,Центр
sing10,Alex Demian,Зорі в неоні,,*,20.06.2019,jun,pop,pop,українська,,*,*,,*,*,*,*,*,Київ,чоловіча,Центр
sing244,Alex Zakharchuk,ЖИВЕМ ОДИН РАЗ,,*,15.05.2019,may,pop,pop,російська,укр,*,,,*,*,*,*,,Київ,чоловіча,Центр
sing11,Amphibian Man,No Surfers In My Town,,,23.11.2019,nov,surf rock,rock,англійська,,*,*,*,*,*,*,*,*,Київ,чоловіча,Центр
sing12,Andrey Chmut,Smoothability,,*,02.07.2019,jul,jazz,jazz,немає,-,*,,,*,,,,,Київ,чоловіча,Центр
sing13,Anna Mia Quintet,Miasophy,,*,16.11.2019,nov,new jazz,jazz,англійська,укр,*,,*,*,*,*,,*,Київ,жіноча,Центр
sing14,Anton Belov,Piano Works I,,*,30.11.2019,nov,instrumental,instrumental,немає,-,*,,*,*,*,*,*,*,Київ,чоловіча,Центр
sing15,Artem Bemba,Airways,,,10.02,feb,psychedelic,electronic,немає,-,,*,*,,,,*,,Львів,чоловіча,Захід
sing16,Atomic Simao,Levitation Loom Four,,,22.12.2019,dec,"psychedelic jazz, instrumental",jazz,англійська,,*,*,*,,*,*,*,*,Київ,чоловіча,Центр
sing17,Balaklava Blues,FLY,,*,31.12.2019,dec,EDM guerrilla-folk,ethno,українська,eng,,*,,,,,,,Toronto,мікс,Закордон
sing18,Banned society,Candy,,,16.03.2019,mar,hip hop,electronic,англійська,,*,*,,*,*,*,,*,Дніпро,чоловіча,Схід
sing19,Barkasth,Decaying,,*,24.06.2019,jun,Black Metal,metal,англійська,,,,*,,,,*,,Харків,чоловіча,Схід
