"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year"
"Andrey Chmut","Smoothability","sing1","jazz","jazz","немає","Київ","чоловіча","Київ","Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg","https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133","yes","short list","2018"
"Atomic Simao","Levitation Loom Four","sing2","psychedelic jazz, instrumental","jazz","англійська","Київ","чоловіча","Київ","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg","https://www.facebook.com/AtomicSimao/?eid=ARDDG--hd76BelOceMI0olGWfYMkPSOy30X5i93LC9-2dOezOU2__IvPG7FiNBGjrqNypHfQLO8EyJLS","https://atomicsimao.bandcamp.com/album/levitation-loom-four","yes","short list","2018"
"Freel","Спалах","sing3","rap","hip hop & rap","українська","Київ","чоловіча","Київ","Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg","https://www.facebook.com/me.freel/","https://soundcloud.com/me-freel/sets/freel-spalah","yes","short list","2018"
"Jamala","Крила","sing4","pop","pop","мікс","Київ","жіноча","Київ","Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no","https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","short list","2018"
"KRUTЬ","Live Concert With Chamber Orchestra","sing5","","indie","мікс","Київ","жіноча","Київ","Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg","https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","short list","2018"
"LATEXFAUNA","Ajahuaska","sing6","indie pop","indie","українська","Київ","чоловіча","Київ","Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg","https://www.facebook.com/latexfauna/","https://www.deezer.com/en/album/62151552","yes","short list","2018"
"LAUD","Музика","sing7","","pop","українська","Київ","чоловіча","Київ","Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg","https://www.facebook.com/laudenjoy/?ref=br_rs","https://soundcloud.com/enjoylaud/sets/music","yes","short list","2018"
"ONUKA","MOZAЇKA","sing8","electronic","electronic","мікс","Київ","мікс","Київ","ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg","https://www.facebook.com/onuka.official/","https://soundcloud.com/onukaofficial/sets/onuka-mozaika","yes","short list","2018"
"YUKO","DURA?","sing9","electronic","electronic","мікс","Київ","мікс","Київ","YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg","https://www.facebook.com/yukoUA/","https://soundcloud.com/masterskayalab/sets/yuko-dura","yes","short list","2018"
"Вагоновожатые","Референс","sing10","dans/electro","electronic","мікс","Київ","чоловіча","Київ","Chelovecheskie slabosti","Vagonovozhatyie_Chelovecheskie_slabosti.mp3","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg","https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499","yes","short list","2018"
